parameter	distribution	param1	param2	mean	sd	sd.prior	transformation	mean.transf	ucl.tranf	sd.transf.1	sd.transf
theta.6	beta	437.1	70.4	0.9	0.35	0.55	logit	1.826534517	2.090760505	0.134809177	2.890811685
theta.7	beta	33.8	24.7	0.6	0.49	0.55	logit	0.312554695	0.847455961	0.272908809	2.007105504
theta.8	beta	99.1	59.1	0.6	0.48	1.56	logit	0.517290521	0.847455961	0.168451755	2.060726274
theta.hiv	beta	9	2.7	0.8	0.4	1.56	logit	1.194245392	2.943794955	0.892627328	2.264850955
pi.m	beta	9	2.7	0.8	0.4	0.01	logit	1.194245392	2.943794955	0.892627328	2.264850955
pi.f	beta	6.1	2.3	0.7	0.42	0.03	logit	0.968705817	2.943580364	1.007589054	2.103032445
pi.msm	beta	8	3.8	0.7	0.45	0.02	logit	0.7472745	2.197224577	0.739770448	2.048800665
rp.1.1.1.1	gamma	2.2	0.6	3.7	2.51	3.5	log	1.305726756	2.302585093	0.508601193	0.681408263
rp.1.1.2.1	normal	32.5	8.9	32.5	2.99	8.93	log	3.481240089	3.912023005	0.219787202	0.09189652
rp.1.2.1.1	gamma	2.2	0.6	3.7	2.51	3.5	log	1.305726756	2.302585093	0.508601193	0.681408263
rp.1.2.2.1	gamma	1.9	0.1	17.7	12.75	18	log	2.871438388	3.911783857	0.530788505	0.721997629
rp.1.1.1.2	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163
rp.1.1.2.2	normal	32.5	8.9	32.5	2.99	8.93	log	3.481240089	3.912023005	0.219787202	0.09189652
rp.1.2.1.2	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163
rp.1.2.2.2	gamma	1.9	0.1	17.7	12.75	18	log	2.871438388	3.911783857	0.530788505	0.721997629
rp.2.1.1.1	gamma	2.2	0.6	3.7	2.51	3.5	log	1.305726756	2.302585093	0.508601193	0.681408263
rp.2.1.2.1	normal	27.5	11.5	27.5	3.39	11.48	log	3.314186005	3.912023005	0.305018878	0.12320674
rp.2.2.1.1	gamma	2.2	0.6	3.7	2.51	3.5	log	1.305726756	2.302585093	0.508601193	0.681408263
rp.2.2.2.1	gamma	1.9	0.1	17.7	12.75	18	log	2.871438388	3.911783857	0.530788505	0.721997629
rp.2.1.1.2	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163
rp.2.1.2.2	normal	27.5	11.5	27.5	3.39	11.48	log	3.314186005	3.912023005	0.305018878	0.12320674
rp.2.2.1.2	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163
rp.2.2.2.2	gamma	1.9	0.1	17.7	12.75	18	log	2.871438388	3.911783857	0.530788505	0.721997629
rp.3.1.2.1	gamma	1.9	0.1	17.7	12.75	18	log	2.871438388	3.911783857	0.530788505	0.721997629
rp.3.2.2.1	gamma	1.9	0.1	17.7	12.75	18	log	2.871438388	3.911783857	0.530788505	0.721997629
rp.3.1.2.2	gamma	1.9	0.1	17.7	12.75	18	log	2.871438388	3.911783857	0.530788505	0.721997629
rp.3.2.2.2	gamma	1.9	0.1	17.7	12.75	18	log	2.871438388	3.911783857	0.530788505	0.721997629
rp.4.1.2.1	normal	45	15.3	45	3.91	15.31	log	3.80666249	4.317488114	0.260625318	0.086922699
rp.4.1.2.2	normal	45	15.3	45	3.91	15.31	log	3.80666249	4.317488114	0.260625318	0.086922699
rp.5.1.1.1	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163
rp.5.1.2.1	normal	45	15.3	45	3.91	15.31	log	3.80666249	4.317488114	0.260625318	0.086922699
rp.5.1.1.2	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163
rp.5.1.2.2	normal	45	15.3	45	3.91	15.31	log	3.80666249	4.317488114	0.260625318	0.086922699
rep.a	beta	116.1	12.1	0.9	0.29	0.02	logit	2.265263821	2.944438979	0.346517938	3.412605112
rep.d	beta	109.7	6.1	0.9	0.22	0.02	logit	2.889460596	3.891820298	0.511408011	4.457148792
rand.rep.b	uniform	0	1	0.5	0.1	0.24	logit	0	3.663561646	1.869164105	0.4
rand.rep.c	uniform	0	1	0.5	0.1	0.24	logit	0	3.663561646	1.869164105	0.4
rr.rep.symp.m	beta	9	2.7	0.8	0.4	0.09	logit	1.194245392	2.943794955	0.892627328	2.264850955
rr.rep.symp.f	beta	9	2.7	0.8	0.4	0.09	logit	1.194245392	2.943794955	0.892627328	2.264850955
behav.lin	uniform	0	0.09	0	0.03	0.03	logit	-3.055048851	-2.341422213	0.364095223	0.604556137
screen.m1.a	beta	2.6	22.3	0.1	0.3	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961
screen.m1.d	beta	2.6	22.3	0.1	0.3	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961
rand.screen.m1.b	uniform	0	1	0.5	0.1	0.24	logit	0	3.663561646	1.869164105	0.4
rand.screen.m1.c	uniform	0	1	0.5	0.1	0.24	logit	0	3.663561646	1.869164105	0.4
screen.msm1.a	beta	5.7	10.2	0.4	0.46	0.13	logit	-0.583807658	0.405468025	0.504732491	2.019241978
screen.msm1.d	beta	7	9.9	0.4	0.48	0.12	logit	-0.341137704	0.619045362	0.489889319	1.968404073
rand.screen.msm1.b	uniform	0	1	0.5	0.1	0.24	logit	0	3.663561646	1.869164105	0.4
rand.screen.msm1.c	uniform	0	1	0.5	0.1	0.24	logit	0	3.663561646	1.869164105	0.4
screen.f1.a	beta	2.6	22.3	0.1	0.3	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961
screen.f1.d	beta	2.6	22.3	0.1	0.3	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961
rand.screen.f1.b	uniform	0	1	0.5	0.1	0.24	logit	0	3.663561646	1.869164105	0.4
rand.screen.f1.c	uniform	0	1	0.5	0.1	0.24	logit	0	3.663561646	1.869164105	0.4
